index,tweet,label
3355,"kelebihan vr aku mah paling suka pake vr buat nyelem di laut. hahaha itu kocak banget. anakku suka banget tuh main itu, sama bola.",Love
3751,"kedua, ada seth yang terlihat seperti ccn alias cold city namja padahal aslinya dia tuh warm banget! seth ini kayak air (loh?)” maksudnya, dia nih aura nya nenangin gitu. dia suka ngobrolin banyak hal dan anaknya juga receh punya banyak jokes bapack2",Love
3617,"sebagai anak perempuan bapak yang suka bangun siang terus dibangunginnya karena perkara disuruh makan aja, gak relate kalau harus berjuang sendirian demi laki-laki. aku dicintai begitu penuh sama cinta pertamaku :d",Love
5156,"saya aja suka sudu, kalau suka kamu, nanti garfu marah",Neutral
2431,"halo, siapapun kamu dan dimana pun kamu semangat terus ya. masih ada langit di atas langit, semoga apa yang kamu takutkan ga terjadi ya! dan semoga hal baik yang kamu ingin kan bisa tercapai. klo msh ngerasa bingung cerita kesiapa, maybe kamu bisa mulai cerita ke aku, be happy",Joy
5665,suka banget ga bales wa. btw kak ian kenapa marah-marah,Neutral
570,tuhkan marah..,Anger
1448,aku belum makan siang makji gak selera ga belum nyangkut mau nangis gak menang rasanya malu..,Fear
5705,"sakit tenggorokan awalnya, trs jadi demam naik turun, kepala suka pusing banget, trs flu dan batuk dehh, kalo nemj gejala gitu mending swab pcr aja, kalo emg (+) ntar suruh lapor ke puskesmas/rtmu klo emg gejala ringan disuruh isoman aja, rajin rajin berjemur, makan sehat, vitamin diperbanyak",Neutral
4535,alhamdulillah kabar baik,Neutral
1745,"kompakan niyee, kaget, heran, geram sudah gak asing ditelinga.",Fear
3473,"lagi suka banget lagunya tbz summer time, judulnya aja dah summer tuh oh sama ini luizy - baby ride",Love
3575,"justru aku seneng banget ama event ini dan lebih suka ini dibandingkan lantern rite (tpi demen cut scenenya bagus), lucu liat kichiboushi, paimonnya juga gemesh, liat lumine ngejawab setiap pertanyaannya juga lucu2",Love
287,"haduh jangan pjj dong, udah mulai ngerti pelajaran tiba tiba pjj jadi bego lagi ntar",Anger
1738,kaget langsung bener,Fear
4424,"ok, jangan berlebihan sewajarnya saja",Neutral
6246,diam nder sy sedang kecewa berat,Sad
2698,mandi air anget pake garam enak jugaa yaa langsung freshh ke badan..,Joy
3879,suka banget enak keras2 alot,Love
6299,"pas lewat jg kaget banget, gini banget deh netizen indo sempet record saking kagetnya. beda banget sama komen orang luar. orang tua nya kalo liat terus ditranslate pasti sedih banget",Sad
4880,jangan pernah merendahkan diri sendiri karena kita itu luar biasaa,Neutral
5394,"bolos, katanya takut kena congorna",Neutral
1684,iya itu di sana takut,Fear
4609,siapa saja yang melakukan pengelolaan pertambangan di indonesia,Neutral
1338,"sebagai penderita agoraphobia, anna gabisa keluar rumah guys, dia bakalan panik dan takut kalo terjebak di suatu ruangan atau bahkan situasi yang ngga familiar gitu. jadi susah ya ges si anna gaboleh keluar rumah dah intinya.",Fear
3404,"gua kalo cinta sama orang suka bucin banget sampe kayak orang bego,tapi kalo tuh orang udah cinta balik,gua malah ilfeel",Love
5809,"salah lah wkwk ntar orang orang pada ikutan sedih, ya walaupun gua gk sedih sih",Neutral
4614,katapat 14 4/6 sekali lagi melakukan kesilapan yang sama. hampir saja terciduk! tak tahu mengapakah ini terjadi buat diriku!,Neutral
4113,"lagi males bales pesan wa, mau deact tp komunikasi cuma disitu. jangan smpai tangan gatel buka wa kalau ga urgent deh beneran muales",Neutral
2258,"pantesan ada istilahdek cinta gak enak padaku? si adek bilang cintamu abang trus si babang bilang adek ku kalau kau cinta pada ku usir bapak mu..,..",Joy
4063,"kemarin hari jumat fun banget entah kenapa, jalan bareng sama sahabat sma (kurang lengkap si) tp one thing gue sayang kalian banget, terima kasih ya udh ngeluangin waktu, terutama kalau gue sedih. gabisa dijelasin rasa sayang gue ke sahabat-sahabat terbaik gue. luv u sekebon",Love
5771,"terima kasih dasom-ah, kamu suka kah kopi seperti ini?",Neutral
3089,"selain itu, saat ini belut juga sudah menjadi cemilan yang dikembangkan oleh beberapa umkm lho. wah, keren banget kan. paling suka makan hidangan apa nih dari belut?",Joy
2531,"happy b'day dedek jiee. adek nuna udah gede. ttap jd maknae yg sabar menghadapi kelakuan abang2ny yah. nuna syang jisung. bahagia terus yh. tenang aja, jisung ttap jadi maknae kesaayangan & yg pling kiyowok,,",Joy
6549,bukan lockey tapi sedih bgt denise hengkang dari secret number. menurut gue denise dan monday vocal terbaik di gen4 sih (menurut gue ya jgn salty) ditambah lagi mereka dari company kecil,Sad
1564,"hi kak, mohon maaf terkait kendalanya. terkait kendala tersebut, untuk saat ini kami tidak dibekali informasi tersebut. apabila ada kendala lain jangan ragu untuk menghubungi kami ya kak. terima kasih ^wh",Fear
5402,bersabar itu jauh berbeda dengan tidak bertindak karena pesimis dan takut. bersabar itu bertahan dalam sikap baik,Neutral
3698,"buat yg suka wangi2 kelapa smooth rileks gitu pasti suka yang vs coco sleep sama coco zen. asli calming banget wanginya, pas dipake agak watery dan hasilnya ngelembabin banget. def my fav, i do repurchase 2 ini ganti2an",Love
3494,happy bbovely dayy!! selamat bertambah usia teteh cantikku park bo young meski wajahnya tetap tidak menuaa.. ditunggu projek2 lainnya __ (fotonya rada ngiklan tapi suka banget sama foto ini),Love
2185,terima kasih pak ri 1 presidenku tetap semangat ya pak membangun bangsa ri,Joy
3235,senang banget dia udah seperti biasa lagi mantappp,Joy
1231,"malu tp gw gak diapain2 mer wkwk udah dibalikin gitu aja, dia tes detak jantung doang kali ya. gw beneran deg2an soalnya tapi ya tetep gak ada yg berubah, cuma emang tau sih kalo dipretelin, tettep takut",Fear
4724,bukan siapa2 tapi merasa prihatin saja sebagai sesama anak bangsa,Neutral
1258,"tbl tbl takut banget loh yang sering tiktokan pasti pernah dengar frasa yang diciptakan ini. sejak viral, tbl digunakan oleh perusahaan besar untuk promosi. penciptanya pun kecewa karena tidak minta izin emangnya frasa bisa dilindungi? [a thread]",Fear
2254,asli enak banget. apalagi kamunya sambil desah kencengg uuhh,Joy
1951,kdg suka ngayal nemenin doi wisuda beh bahagia banget kali yak rasanya wkwk. tp takut juga kalau pd akhirnya bukan aku yg nemenin,Fear
6577,sepi,Sad
113,aku dendam sama ntu dua orang itu.,Anger
6009,morning ninyan! awak jangan ikut murung jugak okay?,Neutral
5178,pura-pura bego padahal tau semuanya seru banget ya,Neutral
6904,"dan pada akhirnya lu menjadi bingung sama perasaan lu, sama pola pikir lu, terlalu takut untuk maju. termenung dalam diam, overthinking tiap malam, masuk dunia virtual dan menjadi nyaman, aman, tentram. gak mau keluar, mau tetap di sana bersama orang-orang yg bisa ngertiin lu.",Sad
507,"hdeuu gw marah yhh tempe digituin, pdhl tempe makanan terenak dimuka bumi inie",Anger
3849,"banyak hal hal kecil yg aku lakuin ke kamu, ternyata kamu suka banget!! aku ngelakuin itu semua pure to make u happy",Love
5001,"tapi tetep ga membenarkan kalo sampe harus kasarin pasangan. se marah apapun mentok banting barang aja, ga sampe nyentuh fisik",Neutral
5992,lune mau temenan ga? nanti gue mention sepi banget ga ada temen ngobrol. rep panggil nama gue ya,Neutral
2548,ada ga si yg semangat siap siap kemana gitu eh sampainya disana jd bdmd gatau karena apa,Joy
3541,pap poca yang kamu suka banget dong sampe kapapun bakal tetep suka sama poca ituu,Love
6082,"sch! soalnya di sekolah ku (jateng) kekurangan guru bangett,,banyak guru yg bukan bidangnya justru ngajar di bidang tsb,dan bahkan kepseknya juga rangkap sama sekolah lain. kl emg ini bener sedih banget,gimana generasi kedepannya :(",Sad
6657,penonton kecewa,Sad
350,"giliran sgala hal yg berbau islam dikebiri,dpojokkan dg alih omikron. srius yg muslim kaga marah??imannya turun atau emnx pura2 muslim?",Anger
6408,"untuk comeback kemaren dan adanya hiatus. hiatus untuk mempersiapkan hati lockey biar tidak luka, iya tidak ada luka tapi sakitnya tetap ada. thanks buat member yang lain telah melewati ini, pasti mereka sedih dan sakit juga. udah sampi di sini aja, aku mau lanjut nangis",Sad
6808,benerbener sedih pagii yg harusnya bahagiaa karena keluargasuami tp dibuat ancur dijam 6 pagi gini..salah keluar rumah di pagihari,Sad
3805,"mimpi pergi bareng ma papuy vespaam, pulkam nek mobil, hft ternyata suka rindu juga",Love
1114,"suka heran sama orang yang udah ngasu tp ga ada effort sama sekali buat mastiin gue sakit ati gak, gue kecewa gak.maksudnyaa lo tuh sadar gasih kalo habis ngejahatin gue, emang repot kalo kita ga pernah ngambek sekalinya ngambek dianggep yaudah, mungkin ga ngambek beneran!!",Anger
4987,dia punya keinginan besar buat hidup dan bales dendam makanya dia tetep hidup meskipun setengah zombi,Neutral
298,bisaa dong yah! jgn bikin emosi dulu pagi-pagi !!,Anger
3357,"masih nggak ngerti sama orang yg suka maen kode-kodean, padahal to the point itu enak banget",Love
6957,"posisi sendiri itu emang enak, tapi kalo lagi ngerasa sendirian gak enak banget :v kalian gt juga gak si?",Sad
